Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Priority;Status;Sprint;Custom field (Story Points);ë£ Original Estimate;ë£ Remaining Estimate;Labels;Labels;Labels;Created;Custom field (Epic Link)
Sub-task;Project1-1637;13594;13590;Title task 43;assignee11;Medium;To Do;Project1 Sprint 13;;30600;1800;;;;21/Dec/18 11:10 AM;
Sub-task;Project1-1636;13593;13590;Title task 44;assignee8;Medium;To Do;Project1 Sprint 13;;61200;61200;;;;21/Dec/18 11:09 AM;
Sub-task;Project1-1635;13592;13590;Title task 45;assignee9;Medium;To Do;Project1 Sprint 13;;61200;61200;;;;21/Dec/18 11:09 AM;
Sub-task;Project1-1632;13589;12879;Title task 46;assignee5;Medium;To Do;Project1 Sprint 12;;30600;30600;;;;20/Dec/18 5:41 PM;
Sub-task;Project1-1630;13587;12879;Title task 47;assignee1;Medium;To Do;Project1 Sprint 12;;30600;30600;;;;20/Dec/18 5:40 PM;
Sub-task;Project1-1629;13586;12879;Title task 48;assignee11;Medium;To Do;Project1 Sprint 12;;30600;1800;;;;20/Dec/18 5:39 PM;
Story;Project1-1559;13476;;Title task 49;assignee7;Medium;To Do;Project1 Sprint 14;;;;;;;10/Dec/18 11:13 AM;
Bug;Project1-1278;12931;;Title task 50;assignee2;Medium;To Do;Project1 Sprint 14;3.0;;14400;SDK-3;;;26/10/18 15:43;
Story;Project1-718;11671;;Title task 51;assignee11;Medium;To Do;Project1 Sprint 7 - 29-8/19-9;13.0;61200;1800;;;;08/Aug/18 8:39 AM;Project1-325
Story;Project1-687;11629;;Title task 52;;Medium;To Do;Project1 Sprint 12;21.0;82800;0;;;;02/Aug/18 12:03 PM;Project1-731
Bug;Project1-1922;14184;;Title task 53;assignee1;Highest;Done;Project1 Sprint 14;8.0;28800;0;Collection_Service;;;19/Feb/19 12:27 PM;
Sub-task;Project1-1921;14180;13933;Title task 54;assignee3;Medium;Done;Project1 Sprint 14;;;0;;;;19/Feb/19 10:10 AM;
Bug;Project1-1906;14145;;Title task 55;assignee6;Medium;Done;Project1 Sprint 14;;;0;SDK-LIB;;;11/Feb/19 11:15 AM;
Bug;Project1-1895;14132;;Title task 56;assignee2;Medium;Done;Project1 Sprint 14;3.0;;0;SDK-4;;;07/Feb/19 3:48 PM;
Bug;Project1-1894;14131;;Title task 57;assignee1;Medium;Done;Project1 Sprint 14;;7200;0;NW_Service;;;07/Feb/19 11:41 AM;
Bug;Project1-1892;14098;;Title task 58;assignee7;Highest;Done;Project1 Sprint 14;8.0;30600;0;SDK-ER;;;05/Feb/19 3:17 PM;
Bug;Project1-1891;14056;;Title task 59;assignee1;Medium;Done;Project1 Sprint 14;13.0;61200;0;NW_Service;;;04/Feb/19 3:48 PM;
Bug;Project1-1890;14055;;Title task 60;assignee1;Medium;Done;Project1 Sprint 14;3.0;3600;0;NW_Service;;;04/Feb/19 3:48 PM;
Bug;Project1-1889;14054;;Title task 61;assignee1;Medium;Done;Project1 Sprint 14;3.0;7200;0;NW_Service;;;04/Feb/19 3:48 PM;
Sub-task;Project1-1862;14020;13831;Title task 62;assignee4;Medium;Done;Project1 Sprint 14;;61200;0;;;;01/Feb/19 4:50 PM;
Sub-task;Project1-1855;14013;13933;Title task 63;assignee3;Medium;Done;Project1 Sprint 14;;30600;0;;;;01/Feb/19 4:09 PM;
Sub-task;Project1-1820;13974;13933;Title task 64;assignee3;Medium;Done;Project1 Sprint 14;;10800;0;;;;01/Feb/19 12:19 PM;
Sub-task;Project1-1818;13972;13933;Title task 65;assignee8;Medium;Done;Project1 Sprint 14;;30600;0;;;;01/Feb/19 12:13 PM;
Sub-task;Project1-1817;13971;13933;Title task 66;assignee3;Medium;Done;Project1 Sprint 14;;10800;0;;;;01/Feb/19 12:10 PM;
Sub-task;Project1-1816;13970;13933;Title task 67;assignee9;Medium;Done;Project1 Sprint 14;;21600;0;;;;01/Feb/19 12:08 PM;
Sub-task;Project1-1810;13960;13838;Title task 68;assignee9;Medium;Done;Project1 Sprint 14;;14400;0;;;;01/Feb/19 11:18 AM;
Sub-task;Project1-1809;13959;13838;Title task 69;assignee9;Medium;Done;Project1 Sprint 14;;30600;0;;;;01/Feb/19 11:17 AM;
Sub-task;Project1-1808;13958;13838;Title task 70;assignee11;Medium;Done;Project1 Sprint 14;;30600;0;;;;01/Feb/19 11:17 AM;
Sub-task;Project1-1804;13954;13830;Title task 71;assignee11;Medium;Done;Project1 Sprint 14;;30600;0;;;;01/Feb/19 11:06 AM;
Sub-task;Project1-1803;13953;13830;Title task 72;assignee9;Medium;Done;Project1 Sprint 14;;30600;0;;;;01/Feb/19 11:06 AM;
Sub-task;Project1-1802;13952;13930;Title task 73;assignee9;Medium;Done;Project1 Sprint 14;;3600;0;;;;01/Feb/19 10:49 AM;
Sub-task;Project1-1801;13951;13930;Title task 74;assignee11;Medium;Done;Project1 Sprint 14;;10800;0;;;;01/Feb/19 10:43 AM;
Sub-task;Project1-1800;13950;13930;Title task 75;assignee9;Medium;Done;Project1 Sprint 14;;7200;0;;;;01/Feb/19 10:40 AM;
Sub-task;Project1-1799;13949;13930;Title task 76;assignee9;Medium;Done;Project1 Sprint 14;;14400;0;;;;01/Feb/19 10:39 AM;
Story;Project1-1789;13939;;Title task 77;assignee2;Medium;Done;Project1 Sprint 14;13.0;;0;;;;31/01/19 17:46;
Story;Project1-1787;13937;;Title task 78;assignee8;Medium;Done;Project1 Sprint 14;5.0;30600;0;;;;31/01/19 17:25;
Bug;Project1-1785;13935;;Title task 79;assignee11;Medium;Done;Project1 Sprint 14;3.0;10800;0;SDK-3;;;31/01/19 16:44;
Story;Project1-1781;13931;;Title task 80;assignee8;Medium;Done;Project1 Sprint 14;13.0;61200;0;;;;31/01/19 15:14;Project1-229
Story;Project1-1780;13930;;Title task 81;assignee9;Medium;Done;Project1 Sprint 14;13.0;36000;0;;;;31/01/19 14:54;Project1-147
Story;Project1-1777;13873;;Title task 82;assignee12;Medium;Done;Project1 Sprint 14;34.0;76500;0;;;;29/01/19 23:07;
Story;Project1-1773;13868;;Title task 83;assignee2;Medium;Done;Project1 Sprint 14;1.0;1800;0;;;;29/01/19 16:57;
Story;Project1-1772;13865;;Title task 84;;High;Done;Project1 Sprint 14;;;;;;;29/01/19 11:28;Project1-147
Story;Project1-1767;13857;;Title task 85;assignee11;Medium;Done;Project1 Sprint 14;5.0;14400;0;;;;28/01/19 16:24;Project1-147
Bug;Project1-1765;13855;;Title task 86;assignee6;Medium;Done;Project1 Sprint 14;5.0;21600;0;SDK-SCM;;;28/01/19 14:02;
Bug;Project1-1762;13851;;Title task 87;assignee9;Medium;Done;Project1 Sprint 14;1.0;3600;0;Config_service;;;28/01/19 13:12;
